length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,shortening_service,length_words_raw,char_repeat,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,ratio_nullHyperlinks,nb_extCSS,ratio_extRedirection,ratio_intMedia,ratio_extMedia,popup_window,safe_anchor,onmouseover,right_clic,empty_title,status
37,19,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,4,4,3,3,11,11,6,5.75,7.0,4.5,0,0,0,0,0,0,0,0,0.875,100.0,0.0,0,0.0,0,0,0,0
77,23,1,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0.220779221,0.0,0,0,0,0,0,1,0,0,4,4,19,2,32,19,32,15.75,19.0,14.66666667,0,0,0,0,0,0,0,0,0.0,80.0,20.0,0,100.0,0,0,0,1
126,50,1,4,1,0,1,2,0,3,2,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0.150793651,0.0,0,0,0,1,0,3,1,0,12,2,3,2,17,13,17,8.25,8.4,8.142857142999999,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,100.0,0,0,0,1
18,11,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,1,0,5,0,5,5,0,5.0,5.0,0.0,0,0,0,0,0,0,0,0,0.25,96.42857143,3.571428571,0,62.5,0,0,0,0
55,15,0,2,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,6,3,3,4,11,7,11,6.333333333,5.0,7.0,0,0,0,0,0,0,0,0,0.537037037,0.0,100.0,0,0.0,0,0,0,0
32,24,0,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0,0,0,0,0,3,1,0,4,3,3,0,7,7,0,4.5,4.5,0.0,0,0,0,0,0,0,0,0,0.571428571,0.0,0.0,0,0.0,0,0,0,1
19,12,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,2,3,3,0,5,5,0,4.0,4.0,0.0,0,0,0,0,0,0,0,10,0.0,0.0,100.0,0,100.0,0,0,0,0
81,27,1,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0.259259259,0.0,0,0,0,0,0,2,0,0,5,8,3,2,32,19,32,13.2,11.0,14.66666667,0,0,0,0,0,0,0,0,0.0,80.0,20.0,0,100.0,0,0,0,1
42,34,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,1,2,0,8,0,21,21,0,14.5,14.5,0.0,0,1,0,0,0,0,0,3,0.38,0.0,100.0,0,27.27272727,0,0,0,0
104,10,0,1,10,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0.076923077,0.0,0,0,0,0,0,1,0,0,14,0,6,2,10,6,10,5.571428571,6.0,5.538461538,1,0,0,0,0,0,0,1,0.193548387,10.0,90.0,0,58.13953488,0,0,0,0
56,22,0,3,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,3,0,0,6,3,3,3,15,15,7,6.666666667,9.0,5.5,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0.0,0,0,0,0
43,16,0,2,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.186046512,0.0,0,0,0,0,0,2,0,0,6,3,3,2,8,8,6,4.333333333,5.5,3.75,0,0,0,0,0,0,0,0,0.166666667,100.0,0.0,0,62.5,0,0,0,0
83,14,0,1,9,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.012048193,0.0,0,0,0,0,0,1,0,0,11,2,10,3,10,10,10,5.454545455,10.0,5.0,0,0,0,0,0,0,0,0,0.04109589,98.4496124,1.5503875969999998,0,38.79310345,0,0,0,0
31,10,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.064516129,0.0,0,0,0,0,0,2,0,0,3,1,4,4,8,4,8,5.333333333,4.0,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,1,1
25,16,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,2,4,3,0,8,8,0,5.5,5.5,0.0,0,0,0,0,0,0,0,0,0.357142857,100.0,0.0,0,69.69696970000001,0,0,0,0
51,23,0,3,0,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0.019607843,0.0,0,0,0,0,0,3,0,0,5,1,4,5,12,12,7,6.6,8.0,5.666666667,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,1
31,22,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,1,2,3,3,0,14,14,0,8.5,8.5,0.0,0,0,0,0,0,0,0,0,0.2,100.0,0.0,0,76.19047619,0,0,0,0
50,21,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0.06,0.0,0,0,0,0,0,2,0,0,5,0,4,5,12,12,8,7.0,8.0,6.333333333,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0.0,0,0,0,1
34,23,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,3,3,3,2,15,15,2,6.666666667,9.0,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,1,1
27,19,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.148148148,0.210526316,0,0,0,0,0,2,0,0,2,3,3,0,11,11,0,7.0,7.0,0.0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0.0,0,0,0,0
63,14,0,3,2,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,3,1,0,8,3,3,2,8,4,8,5.25,3.5,5.833333333,0,0,0,0,0,0,0,1,0.0,87.5,12.5,0,92.75362319,0,0,0,0
66,16,0,2,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,1,8,0,4,4,9,7,9,5.875,5.5,6.0,0,0,0,0,0,0,0,0,0.214285714,0.0,0.0,0,0.0,0,0,0,0
40,11,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0.1,0.0,0,0,0,0,0,2,0,0,5,0,7,1,7,7,7,5.0,7.0,4.5,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0.0,0,0,0,1
48,16,0,1,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,1,0,6,0,5,3,9,6,9,5.333333333,5.5,5.25,0,0,0,0,0,0,0,0,0.2,100.0,0.0,0,50.0,0,0,0,0
126,50,1,4,1,0,1,2,0,3,2,0,0,4,0,1,0,0,0,0,0,1,0,0,1,0.095238095,0.0,0,0,0,1,0,3,1,0,13,7,3,2,17,13,17,7.769230769,8.4,7.375,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,100.0,0,0,0,1
41,32,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,1,2,0,8,0,19,19,0,13.5,13.5,0.0,0,1,0,0,0,0,0,3,0.0,0.0,0.0,0,0.0,0,0,0,1
36,27,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,2,3,3,0,19,19,0,11.0,11.0,0.0,0,0,0,0,0,0,0,0,0.333333333,100.0,0.0,0,90.32258065,0,0,0,0
72,24,0,2,7,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,1,0,0,1,0.0,0.0,0,0,1,0,0,2,0,0,11,5,3,2,8,6,8,4.545454545,4.25,4.714285714,0,0,0,0,0,0,0,2,0.083333333,93.75,6.25,0,20.0,0,0,0,0
68,42,1,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,1,0.161764706,0.0,0,0,0,1,0,3,0,0,6,3,3,2,15,13,15,8.666666667000001,8.75,8.5,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,100.0,0,0,0,1
