length_url,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,status,url_numeric_domain,url_numeric_path_length,url_numeric_num_subdomains,url_numeric_has_ip,url_numeric_has_special_chars
37,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,5135,11,1,0,0
77,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,3442,47,0,0,0
126,4,1,0,1,2,0,3,2,0,0,5,0,1,0,0,0,0,0,1,0,1,3701,20,3,0,0
18,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3225,0,1,0,0
55,2,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,6065,33,1,0,1
32,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,384,1,2,0,0
19,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,6643,0,1,0,0
81,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,1,7357,47,1,0,0
42,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,4046,1,1,0,0
104,1,10,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,2896,86,0,0,1
56,3,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0,0,4606,26,1,0,0
43,2,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,6305,19,1,0,1
83,1,9,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,3766,61,0,0,1
31,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,1858,14,0,0,0
25,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,6573,1,1,0,0
51,3,0,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,1,4172,7,2,0,0
31,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,4962,1,1,0,0
50,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,580,22,1,0,0
34,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,1,6229,4,1,0,0
27,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,4330,1,1,1,0
63,3,2,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,5644,42,2,0,1
66,2,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,711,42,1,0,1
40,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,553,22,0,0,0
48,1,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,3569,25,0,0,1
126,4,1,0,1,2,0,3,2,0,0,4,0,1,0,0,0,0,0,1,0,1,3701,19,3,0,0
41,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,3026,1,1,0,0
36,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,7088,1,1,0,0
72,2,7,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,1,0,0,6827,41,1,0,1
68,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,1,3395,19,3,0,0
163,4,9,1,0,2,0,1,0,0,0,3,0,1,0,2,0,0,1,0,0,1,6002,32,1,0,1
26,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,5439,1,1,0,0
64,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,2564,40,1,0,0
36,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,8161,1,3,1,0
61,2,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,2,0,1,1110,40,0,0,0
66,2,0,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,352,15,1,0,0
35,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,4969,1,1,0,0
113,5,0,0,0,0,0,1,2,0,0,10,0,1,0,0,0,0,1,1,0,1,3726,82,0,0,1
41,2,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,8211,0,1,0,0
23,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,6104,4,1,0,0
31,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3062,0,1,0,0
84,2,2,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1,3170,47,0,0,1
29,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,4157,5,1,0,0
98,2,2,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,1,0,0,1,5115,65,1,0,1
15,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3747,0,0,0,0
65,2,0,0,0,0,0,0,4,0,0,4,0,1,0,0,0,0,0,0,0,0,4248,36,1,0,0
131,2,1,0,1,0,0,1,4,0,0,7,0,3,0,0,0,0,0,0,0,1,1695,87,1,0,0
50,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,6529,19,1,0,0
51,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,1845,12,1,0,0
45,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,4768,26,1,0,0
159,2,0,0,1,1,0,2,0,0,0,8,0,1,0,1,0,0,0,0,0,1,4050,51,0,0,0
44,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,1,4321,14,1,1,1
103,3,1,1,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,1,3719,4,1,0,0
46,4,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,2969,19,2,0,0
45,2,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,3269,21,1,0,0
51,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,1,4607,18,2,0,0
38,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,1,6676,12,1,0,0
81,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,1,7357,47,1,0,0
112,2,10,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,3362,74,1,0,1
39,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,3502,15,1,0,0
99,2,2,0,0,0,0,0,2,0,0,7,0,1,0,0,0,0,0,0,0,1,1155,76,1,0,1
45,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,7088,10,1,0,1
60,5,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,3449,18,3,1,1
74,3,0,0,0,0,0,0,3,0,0,10,0,1,0,0,0,0,0,0,0,0,3703,48,1,0,0
61,3,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,5493,36,1,0,1
40,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,2424,0,3,1,0
